county,date,measures,data_set_id
Carbon,2015-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":16,""total_jobs"":16}",1
Carbon,2015-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":30,""total_jobs"":30}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":15,""jobs_pledged_to_be_retained"":0,""total_jobs"":15}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":1,""jobs_pledged_to_be_retained"":4,""total_jobs"":5}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":7,""total_jobs"":7}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":11,""total_jobs"":11}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":10,""jobs_pledged_to_be_retained"":12,""total_jobs"":22}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":14,""total_jobs"":14}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":278,""total_jobs"":278}",1
Carbon,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":360,""total_jobs"":360}",1
Carbon,2016-08-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":23,""total_jobs"":23}",1
Carbon,2016-02-01,"{""jobs_pledged_to_be_created"":3,""jobs_pledged_to_be_retained"":4,""total_jobs"":7}",1
Carbon,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":9,""total_jobs"":9}",1
Carbon,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":5,""total_jobs"":5}",1
Carbon,2016-10-01,"{""jobs_pledged_to_be_created"":112,""jobs_pledged_to_be_retained"":377,""total_jobs"":489}",1
Centre,2015-08-01,"{""jobs_pledged_to_be_created"":4,""jobs_pledged_to_be_retained"":4,""total_jobs"":8}",1
Centre,2015-05-01,"{""jobs_pledged_to_be_created"":302,""jobs_pledged_to_be_retained"":42,""total_jobs"":344}",1
Centre,2016-07-01,"{""jobs_pledged_to_be_created"":210,""jobs_pledged_to_be_retained"":6,""total_jobs"":216}",1
Centre,2016-07-01,"{""jobs_pledged_to_be_created"":282,""jobs_pledged_to_be_retained"":53,""total_jobs"":335}",1
Centre,2016-07-01,"{""jobs_pledged_to_be_created"":319,""jobs_pledged_to_be_retained"":60,""total_jobs"":379}",1
Centre,2016-10-01,"{""jobs_pledged_to_be_created"":8,""jobs_pledged_to_be_retained"":3,""total_jobs"":11}",1
Centre,2016-10-01,"{""jobs_pledged_to_be_created"":4,""jobs_pledged_to_be_retained"":4,""total_jobs"":8}",1
Chester,2015-08-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":1,""total_jobs"":1}",1
Chester,2015-06-01,"{""jobs_pledged_to_be_created"":51,""jobs_pledged_to_be_retained"":0,""total_jobs"":51}",1
Chester,2015-11-01,"{""jobs_pledged_to_be_created"":90,""jobs_pledged_to_be_retained"":0,""total_jobs"":90}",1
Chester,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":1,""total_jobs"":1}",1
Chester,2016-07-01,"{""jobs_pledged_to_be_created"":2,""jobs_pledged_to_be_retained"":2,""total_jobs"":4}",1
Chester,2016-07-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":9,""total_jobs"":9}",1
Chester,2016-07-01,"{""jobs_pledged_to_be_created"":210,""jobs_pledged_to_be_retained"":266,""total_jobs"":476}",1
Chester,2016-06-01,"{""jobs_pledged_to_be_created"":65,""jobs_pledged_to_be_retained"":2,""total_jobs"":67}",1
Chester,2016-06-01,"{""jobs_pledged_to_be_created"":48,""jobs_pledged_to_be_retained"":132,""total_jobs"":180}",1
Chester,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":24,""total_jobs"":24}",1
Chester,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":70,""total_jobs"":70}",1
Clearfield,2016-07-01,"{""jobs_pledged_to_be_created"":15,""jobs_pledged_to_be_retained"":15,""total_jobs"":30}",1
Clearfield,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":53,""total_jobs"":53}",1
Clinton,2016-08-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":3,""total_jobs"":3}",1
Clinton,2016-07-01,"{""jobs_pledged_to_be_created"":10,""jobs_pledged_to_be_retained"":148,""total_jobs"":158}",1
Clinton,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":5,""total_jobs"":5}",1
Columbia,2015-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":15,""total_jobs"":15}",1
Crawford,2016-07-01,"{""jobs_pledged_to_be_created"":47,""jobs_pledged_to_be_retained"":0,""total_jobs"":47}",1
Cumberland,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":35,""total_jobs"":35}",1
Cumberland,2015-06-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":1005,""total_jobs"":1005}",1
Cumberland,2015-03-01,"{""jobs_pledged_to_be_created"":258,""jobs_pledged_to_be_retained"":0,""total_jobs"":258}",1
Cumberland,2016-08-01,"{""jobs_pledged_to_be_created"":30,""jobs_pledged_to_be_retained"":50,""total_jobs"":80}",1
Cumberland,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":120,""total_jobs"":120}",1
Dauphin,2015-02-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":7,""total_jobs"":7}",1
Dauphin,2015-05-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":21,""total_jobs"":21}",1
Dauphin,2015-05-01,"{""jobs_pledged_to_be_created"":25,""jobs_pledged_to_be_retained"":10000,""total_jobs"":10025}",1
Dauphin,2015-11-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":43,""total_jobs"":43}",1
Dauphin,2015-10-01,"{""jobs_pledged_to_be_created"":14,""jobs_pledged_to_be_retained"":7,""total_jobs"":21}",1
Dauphin,2016-03-01,"{""jobs_pledged_to_be_created"":30,""jobs_pledged_to_be_retained"":177,""total_jobs"":207}",1
Dauphin,2016-10-01,"{""jobs_pledged_to_be_created"":10,""jobs_pledged_to_be_retained"":30,""total_jobs"":40}",1
Dauphin,2016-10-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":77,""total_jobs"":77}",1
Dauphin,2016-09-01,"{""jobs_pledged_to_be_created"":0,""jobs_pledged_to_be_retained"":69,""total_jobs"":69}",1
Delaware,2015-08-01,"{""jobs_pledged_to_be_created"":23,""jobs_pledged_to_be_retained"":45,""total_jobs"":68}",1
Delaware,2015-08-01,"{""jobs_pledged_to_be_created"":150,""jobs_pledged_to_be_retained"":210,""total_jobs"":360}",1
Delaware,2015-12-01,"{""jobs_pledged_to_be_created"":168,""jobs_pledged_to_be_retained"":0,""total_jobs"":168}",1
Delaware,2015-02-01,"{""jobs_pledged_to_be_created"":178,""jobs_pledged_to_be_retained"":2462,""total_jobs"":2640}",1
Delaware,2015-03-01,"{""jobs_pledged_to_be_created"":98,""jobs_pledged_to_be_retained"":0,""total_jobs"":98}",1
Delaware,2016-01-01,"{""jobs_pledged_to_be_created"":626,""jobs_pledged_to_be_retained"":5,""total_jobs"":631}",1
Delaware,2016-07-01,"{""jobs_pledged_to_be_created"":22,""jobs_pledged_to_be_retained"":457,""total_jobs"":479}",1
