county,date,measures,data_set_id
Huntingdon,2015-07-31,"{""corrections_population"":2150}",3
N/A,2015-12-31,"{""corrections_population"":129}",3
Cumberland,2016-03-31,"{""corrections_population"":3482}",3
N/A,2016-04-30,"{""corrections_population"":594}",3
N/A,2016-02-29,"{""corrections_population"":133}",3
Clearfield,2016-06-30,"{""corrections_population"":438}",3
Greene,2015-08-31,"{""corrections_population"":1712}",3
Allegheny,2015-11-30,"{""corrections_population"":1677}",3
N/A,2016-01-31,"{""corrections_population"":802}",3
Lycoming,2015-09-30,"{""corrections_population"":1425}",3
N/A,2016-03-31,"{""corrections_population"":133}",3
Wayne,2016-02-29,"{""corrections_population"":1379}",3
Luzerne,2016-06-30,"{""corrections_population"":2132}",3
Mercer,2015-08-31,"{""corrections_population"":1420}",3
N/A,2015-11-30,"{""corrections_population"":84}",3
Huntingdon,2015-11-30,"{""corrections_population"":2146}",3
Huntingdon,2015-07-31,"{""corrections_population"":1368}",3
Luzerne,2015-11-30,"{""corrections_population"":2145}",3
N/A,2016-01-31,"{""corrections_population"":138}",3
Luzerne,2015-10-31,"{""corrections_population"":2135}",3
Crawford,2015-12-31,"{""corrections_population"":1151}",3
Erie,2015-07-31,"{""corrections_population"":2280}",3
Montgomery,2015-11-30,"{""corrections_population"":3127}",3
N/A,2015-10-31,"{""corrections_population"":80}",3
Clearfield,2016-05-31,"{""corrections_population"":2511}",3
N/A,2016-01-31,"{""corrections_population"":295}",3
N/A,2016-04-30,"{""corrections_population"":260}",3
Somerset,2016-06-30,"{""corrections_population"":1607}",3
Wayne,2016-06-30,"{""corrections_population"":1408}",3
Schuylkill,2015-10-31,"{""corrections_population"":2450}",3
Centre,2015-07-31,"{""corrections_population"":2110}",3
Huntingdon,2015-09-30,"{""corrections_population"":2167}",3
Centre,2015-08-31,"{""corrections_population"":2083}",3
N/A,2016-01-31,"{""corrections_population"":74}",3
Centre,2016-01-31,"{""corrections_population"":2077}",3
Luzerne,2016-05-31,"{""corrections_population"":2130}",3
N/A,2015-12-31,"{""corrections_population"":301}",3
Somerset,2016-04-30,"{""corrections_population"":2404}",3
